web-scraper-order                                                                                               web-scraper-start-url                 nama                                                                            caption                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ulasan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ulasan_preprocessed    label                                            sentiment    score                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ulasan_tokens                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ulasan_tokens_fdist                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ulasan_tokens_WSW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ulasan_tokens_stemmed
     1680415691-1 https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html             Meyrisca                                                                       Sejuk-Tenang                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                keadaan kota kecil ini tenang dg udara yg sejuk semakin kita mengunjungi tempat yg lebih tinggi semakin kita dapat menikmati pemandangan yg lebih indah ada danau ada gunung ada awan dengan jarak dekat ada sunrise                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      kota tenang dg udara yg sejuk . mengunjungi yg menikmati pemandangan yg indah . danau , gunung , awan jarak , sunris ..... negative [{'label': 'negative', 'score': 0.9249656796455383}] 0.924966                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [keadaan, kota, kecil, ini, tenang, dg, udara, yg, sejuk, semakin, kita, mengunjungi, tempat, yg, lebih, tinggi, semakin, kita, dapat, menikmati, pemandangan, yg, lebih, indah, ada, danau, ada, gunung, ada, awan, dengan, jarak, dekat, ada, sunrise]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               {'keadaan': 1, 'kota': 1, 'kecil': 1, 'ini': 1, 'tenang': 1, 'dg': 1, 'udara': 1, 'yg': 3, 'sejuk': 1, 'semakin': 2, 'kita': 2, 'mengunjungi': 1, 'tempat': 1, 'lebih': 2, 'tinggi': 1, 'dapat': 1, 'menikmati': 1, 'pemandangan': 1, 'indah': 1, 'ada': 4, 'danau': 1, 'gunung': 1, 'awan': 1, 'dengan': 1, 'jarak': 1, 'dekat': 1, 'sunrise': 1}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [kota, tenang, udara, sejuk, mengunjungi, menikmati, pemandangan, indah, danau, gunung, awan, jarak, sunrise]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [kota, tenang, udara, sejuk, unjung, nikmat, pandang, indah, danau, gunung, awan, jarak, sunrise]
     1680415691-2 https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html          wikipedieng                                       Tempat indah untuk melihat pemandangan hijau                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      terletak di jawa tengah dataran tinggi dieng menyuguhkan panorama alam yang indah danau warna warni situs bersejarah kawah yang melegenda hingga pendakian ke bukit sikunir untuk menikmati golden sunrise dieng plateau adalah tujuan favorit untuk tahun ini                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          terletak jawa , dataran dieng menyuguhkan panorama alam indah . danau warna warni , situ bersejarah , kawah melegenda pendakian bukit sikunir menikmati golden sunris . dieng plateau tujuan favorit . positive [{'label': 'positive', 'score': 0.9080202579498291}] 0.908020                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [terletak, di, jawa tengah, dataran tinggi, dieng, menyuguhkan, panorama, alam, yang, indah, danau, warna, warni, situs, bersejarah, kawah, yang, melegenda, hingga, pendakian, ke, bukit, sikunir, untuk, menikmati, golden, sunrise, dieng, plateau, adalah, tujuan, favorit, untuk, tahun, ini]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   {'terletak': 1, 'di': 1, 'jawa tengah': 1, 'dataran tinggi': 1, 'dieng': 2, 'menyuguhkan': 1, 'panorama': 1, 'alam': 1, 'yang': 2, 'indah': 1, 'danau': 1, 'warna': 1, 'warni': 1, 'situs': 1, 'bersejarah': 1, 'kawah': 1, 'melegenda': 1, 'hingga': 1, 'pendakian': 1, 'ke': 1, 'bukit': 1, 'sikunir': 1, 'untuk': 2, 'menikmati': 1, 'golden': 1, 'sunrise': 1, 'plateau': 1, 'adalah': 1, 'tujuan': 1, 'favorit': 1, 'tahun': 1, 'ini': 1}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [terletak, jawa tengah, dataran tinggi, dieng, menyuguhkan, panorama, alam, indah, danau, warna, warni, situs, bersejarah, kawah, melegenda, pendakian, bukit, sikunir, menikmati, golden, sunrise, dieng, plateau, tujuan, favorit]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [letak, jawa tengah, datar tinggi, dieng, suguh, panorama, alam, indah, danau, warna, warni, situs, sejarah, kawah, legenda, daki, bukit, sikunir, nikmat, golden, sunrise, dieng, plateau, tuju, favorit]
     1680415691-3 https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html              Danrltf                                                                       Lovely place                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ke dieng tempat yang luar biasa nice weather good athmosphere pengalaman yang luar biasa bisa explore dieng mulai di tahun ikut acara dieng culture festival naik gunung prau telaga warna batu ratapan angin dll bakalan rindu banget wisata ke dieng bikin candu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            2x dieng . luarbiasa . nice weather . good athmospher . pengalaman explor dieng . 2019 acara dieng cultur festiv . gunung prau , telaga warna , batu ratapan angin . dll . rindu banget wisata dieng . bikin candu . negative [{'label': 'negative', 'score': 0.8472505211830139}] 0.847251                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [ke, dieng, tempat, yang, luar, biasa, nice, weather, good, athmosphere, pengalaman, yang, luar, biasa, bisa, explore, dieng, mulai, di, tahun, ikut, acara, dieng, culture, festival, naik, gunung, prau, telaga, warna, batu, ratapan, angin, dll, bakalan, rindu, banget, wisata, ke, dieng, bikin, candu]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 {'ke': 2, 'dieng': 4, 'tempat': 1, 'yang': 2, 'luar': 2, 'biasa': 2, 'nice': 1, 'weather': 1, 'good': 1, 'athmosphere': 1, 'pengalaman': 1, 'bisa': 1, 'explore': 1, 'mulai': 1, 'di': 1, 'tahun': 1, 'ikut': 1, 'acara': 1, 'culture': 1, 'festival': 1, 'naik': 1, 'gunung': 1, 'prau': 1, 'telaga': 1, 'warna': 1, 'batu': 1, 'ratapan': 1, 'angin': 1, 'dll': 1, 'bakalan': 1, 'rindu': 1, 'banget': 1, 'wisata': 1, 'bikin': 1, 'candu': 1}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [dieng, nice, weather, good, athmosphere, pengalaman, explore, dieng, acara, dieng, culture, festival, gunung, prau, telaga, warna, batu, ratapan, angin, dll, rindu, banget, wisata, dieng, candu]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [dieng, nice, weather, good, athmosphere, alam, explore, dieng, acara, dieng, culture, festival, gunung, prau, telaga, warna, batu, ratap, angin, dll, rindu, banget, wisata, dieng, candu]
     1680415691-4 https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html       RentCarJakarta                                                         Rekomendasi liburan disini                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           dieng adalah dataran tinggi dan terkenal dengan negeri di atas awan karena kita bisa melihat awan berada di bawah kita lokasi wisata di dieng ada beberapa lokasi puncak sikunir batu ratapan telaga warna kawah sikidang candi arjuna dll biasanya rute yang saya tempuh sebelum subuh di mana cuaca dingin sampai ke tulang sudah mendaki puncak sikunir tujuannya melihat matahari terbit setelah itu ke batu ratapan melihat telaga warna dari atas dan sebelumnya bisa lihat theater cerita dieng selanjutnya bisa ke telga warna untuk lebih dekat atau ke kawah sikidang sore bisa main ke kawasan candi arjuna jangan lupa kalo kesini nikmati kuliner mie ongklok carica tempe kemul soal harga jangan khawatir harga relatif murah gak merusak kantong dan utamanya warga disini ramah ramah dieng buat saya ngangenin hampir tiap tahun saya selalu kesini oiya ada yg kelupaan setiap minggu pertama hari jumatsabtu dan minggu selalu ada acara dieng culture festival dcf acaranya ritual pemotongan rambut gimba dan ada music jazz yang di sebut jazz atas awan gimana sensasinya menikmati musik yang slow dengan cuaca dingin hmmmm datang aja  ke dieng best regards kian rental mobil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               dieng ... dataran terken negeri awan awan lokasi wisata dieng lokasi : puncak sikunir , batu ratapan , telaga warna , kawah sikidang , candi arjuna dll rute tempuh subuh cuaca dingin tulang mendaki puncak sikunir tujuannya matahari terbit , batu ratapan telaga warna lihat theater cerita dieng , telga warna kawah sikidang sore main kawasan candi arjuna lupa kalo kesini nikmati kulin mie ongklok , carica , temp kemul , harga khawatir harga relatif murah gak merusak kantong utamanya warga ramah ramah dieng ngangenin kesini oiya yg kelupaan minggu jumat , sabtu minggu acara dieng cultur festiv ( dcf ) acaranya ritual pemotongan rambut gimba music jazz jazz awan gimana sensasinya menikmati musik slow cuaca dingin ? hmmmm aja y dieng best regard kian rental mobil ( 0811-9284-000 ) negative [{'label': 'negative', 'score': 0.7701975107192993}] 0.770198                                                                                                                    [dieng, adalah, dataran tinggi, dan, terkenal, dengan, negeri, di, atas, awan, karena, kita, bisa, melihat, awan, berada, di, bawah, kita, lokasi, wisata, di, dieng, ada, beberapa, lokasi, puncak, sikunir, batu, ratapan, telaga, warna, kawah, sikidang, candi, arjuna, dll, biasanya, rute, yang, saya, tempuh, sebelum, subuh, di, mana, cuaca, dingin, sampai, ke, tulang, sudah, mendaki, puncak, sikunir, tujuannya, melihat, matahari, terbit, setelah, itu, ke, batu, ratapan, melihat, telaga, warna, dari, atas, dan, sebelumnya, bisa, lihat, theater, cerita, dieng, selanjutnya, bisa, ke, telga, warna, untuk, lebih, dekat, atau, ke, kawah, sikidang, sore, bisa, main, ke, kawasan, candi, arjuna, jangan, lupa, kalo, kesini, nikmati, ...]                                                                                                                          {'dieng': 6, 'adalah': 1, 'dataran tinggi': 1, 'dan': 5, 'terkenal': 1, 'dengan': 2, 'negeri': 1, 'di': 5, 'atas': 3, 'awan': 3, 'karena': 1, 'kita': 2, 'bisa': 4, 'melihat': 3, 'berada': 1, 'bawah': 1, 'lokasi': 2, 'wisata': 1, 'ada': 4, 'beberapa': 1, 'puncak': 2, 'sikunir': 2, 'batu': 2, 'ratapan': 2, 'telaga': 2, 'warna': 3, 'kawah': 2, 'sikidang': 2, 'candi': 2, 'arjuna': 2, 'dll': 1, 'biasanya': 1, 'rute': 1, 'yang': 3, 'saya': 3, 'tempuh': 1, 'sebelum': 1, 'subuh': 1, 'mana': 1, 'cuaca': 2, 'dingin': 2, 'sampai': 1, 'ke': 6, 'tulang': 1, 'sudah': 1, 'mendaki': 1, 'tujuannya': 1, 'matahari': 1, 'terbit': 1, 'setelah': 1, 'itu': 1, 'dari': 1, 'sebelumnya': 1, 'lihat': 1, 'theater': 1, 'cerita': 1, 'selanjutnya': 1, 'telga': 1, 'untuk': 1, 'lebih': 1, 'dekat': 1, 'atau': 1, 'sore': 1, 'main': 1, 'kawasan': 1, 'jangan': 2, 'lupa': 1, 'kalo': 1, 'kesini': 2, 'nikmati': 1, 'kuliner': 1, 'mie': 1, 'ongklok': 1, 'carica': 1, 'tempe': 1, 'kemul': 1, 'soal': 1, 'harga': 2, 'khawatir': 1, 'relatif': 1, 'murah': 1, 'gak': 1, 'merusak': 1, 'kantong': 1, 'utamanya': 1, 'warga': 1, 'disini': 1, 'ramah': 2, 'buat': 1, 'ngangenin': 1, 'hampir': 1, 'tiap': 1, 'tahun': 1, 'selalu': 2, 'oiya': 1, 'yg': 1, 'kelupaan': 1, 'setiap': 1, 'minggu': 2, 'pertama': 1, ...}                                                                                                                         [dieng, dataran tinggi, terkenal, negeri, awan, awan, lokasi, wisata, dieng, lokasi, puncak, sikunir, batu, ratapan, telaga, warna, kawah, sikidang, candi, arjuna, dll, rute, tempuh, subuh, cuaca, dingin, tulang, mendaki, puncak, sikunir, tujuannya, matahari, terbit, batu, ratapan, telaga, warna, lihat, theater, cerita, dieng, telga, warna, kawah, sikidang, sore, main, kawasan, candi, arjuna, lupa, kesini, nikmati, kuliner, mie, ongklok, carica, tempe, kemul, harga, khawatir, harga, relatif, murah, merusak, kantong, utamanya, warga, ramah, ramah, dieng, ngangenin, kesini, oiya, kelupaan, minggu, jumatsabtu, minggu, acara, dieng, culture, festival, dcf, acaranya, ritual, pemotongan, rambut, gimba, music, jazz, jazz, awan, gimana, sensasinya, menikmati, musik, slow, cuaca, dingin, hmmmm, ...]                                                                                                         [dieng, datar tinggi, kenal, negeri, awan, awan, lokasi, wisata, dieng, lokasi, puncak, sikunir, batu, ratap, telaga, warna, kawah, sikidang, candi, arjuna, dll, rute, tempuh, subuh, cuaca, dingin, tulang, daki, puncak, sikunir, tuju, matahari, terbit, batu, ratap, telaga, warna, lihat, theater, cerita, dieng, telga, warna, kawah, sikidang, sore, main, kawasan, candi, arjuna, lupa, kesini, nikmat, kuliner, mie, ongklok, carica, tempe, kemul, harga, khawatir, harga, relatif, murah, rusak, kantong, utama, warga, ramah, ramah, dieng, ngangenin, kesini, oiya, lupa, minggu, jumatsabtu, minggu, acara, dieng, culture, festival, dcf, acara, ritual, potong, rambut, gimba, music, jazz, jazz, awan, gimana, sensasi, nikmat, musik, slow, cuaca, dingin, hmmmm, ...]
