Ulasan;
Tempat wisata bagus di Jawa Timur.  Banyak spot foto selfie dan lebih bagus datang di malam hari. Lampu lampunya bagus kelap-kelip. ;
Salah satu tempat wisata malam yang bisa di kunjungi bila  ke kota Batu. Tempatnya bukà mulai sore hingga malam hari. Tersedia berbagai macam wahana permainan. Banyak tersedia juga tempat untuk berfoto. Terdapat foodcourt yang menjual aneka makanan dan minuman, juga ada stand yang menjual oleh-oleh khas kota batu;
Salah satu Tempat Wisata alternative yang dapat di kunjungi saat Malam hari di Kota Batu, menarik karena tempat ini setiap tahun terus berkembang mulai dari segi bangunan, fasilitas di dalam dan tentu saja Wahana yang di tawarkan di dalam BNS;
Banyak tersedia wahana disini. Mulai dari rumah hantu, taman lampion hingga gocart. Salah satu tempat wisata yang wajib dikunjungi di Batu.;
Wahana permainan di bns lengkap ..dr yg extrim sampai yg santai yg cocok unt keluarga tapi pengunjung hrs ingat bahwa tiket masuk tsb hny unt 3 wahana permainan yg sdh di tentukan pengelola saja dan bila ingin ke wahana lain harus bayar lg di loket dekat wahana yg di maksud.;
Dari semua wahana yang ada di BNS, yang paling bikin tutup mata Cinema 4Dnya! Yang lainnya sama kayak di wahana jatim park lainnya.;
liburan ke Malang kurang lengkap tanpa mengunjungi BNS, the great place for holiday, permainan lengkap untuk semua kalangan anak2 sampai dewasa;
Pemandangan ok klo datang sore hari dan tdk kepanasan, saat malam ada lampion park bagus buat foto2, tempat g terlalu besar,lumayan byk arena bermain, saat keluar melewati pusat oleh2;
Cukup bagus untuk hiburan malam hari....tapi sayang wahananya tidak terlalu banyak dan area parkir kurang luas..........;
Sesuai namanya, tempat ini berada di Batu-Malang, Jawa Timur, dikunjungi di malam hari begitu indah dengan aneka lampu warna warni yang nenyambut sejak kita masuk area parkir. Temoat ini penuh dengan berbagai wahana permainan yang bisa diikuti mulai anak-anak, remaja hingga dewasa. Ketika berada di Batu, sungguh menyenangkan jika bise menyempatkan berkunjung disini. ;
Kami kesini saat liburan akhir ramadhan, kondisi bns ramai sampai2 kami tidak mendapat tempat parkir di area bns, kami akhirnya parkir di luar bns dan harus berjalan kaki kuranglebih 300 meter, tiket masuk saja seharga 40 ribu, sedangkan untuk tiket terusan seharga 120 ribu. harga makanan tidak terlalu mahal, tempat ini recommended untuk anak2..;
Hanya buka sore sampai malam, wahana nya tidak terlalu banyak..selalu ramai dengan anak2 wisata sekolahan. Tidak terlalu banyak spot untuk foto. Setiap wahana yg akan dinaiki harus bayar, beda sistem dengan jatim park.;
Alternatif Wisata di Batu selain Jatim Park 1 - 3, jika yang lain buka siang - sore, maka yang ini, sesuai dengan namanya buka saat sore - malam. Mencoba menampilkan sisi spektakuler Kota Wisata Batu saat malam hari, dengan background khas tanah pegunungan obyek wisata ini cukup ramah untuk anak - anak, bahkan kalau boleh saya bilang, anak - anak saya lebih menikmati suasana saat disini dari pada saya & istri,,,;
Selama ne kl wisata malem tuh cm kuliner ( makanya endut ) wkwk .. lmyn xi jd main2 nya ga panas,ga hitam kulit,mainannya jg lmyn byk,ada mainan bt anak n dewasa jg, cm syg mainan anaknya kmrn ada beberapa yg rusak ,mgkn blm d bnrn x ya ... ada rmh hantu rmh kaca, banyak deh pokoknya;
Sudah 2 kali datang ke tempat ini dan selalu ramai. Untung saja area parkirnya sangat luas. Pilihan permainannya banyak, untuk anak-anak maupun dewasa. Terdapat juga pertunjukkan air mancur menari. Penerangannya redup. Menuju pintu keluar akan melewati banyak penjual, mulai dari pakaian, mainan anak-anak, makanan, dll.;
Kebetulan lokasi hotel kami menginap sangat dekat dengan BNS jadi bisa menaiki motor saja untuk kesana, ternyata tempat ini cukup luas, tapi kami kurang menikmatinya. Hanya berkeliling dan mengambil beberapa foto khususnya di area lampion, selebihnya kami hanya melewati wahana-wahana yang ada. Cukup lelah berkeliling disana jadi kami memutuskan untuk tidak berlama-lama disana dan pulang, ketika menuju pintu keluar juga cukup jauh karena kita harus mengelilingi pusat oleh-oleh baru bisa mencapai pintu keluar. Kesannya seperti pasar malam biasa hanya wahana yang disuguhkan lebih banyak, rasanya cukup sekali saja mengunjungi Batu Night Spectacular atau yang sering di sebut BNS ini.;
Tempat bermain yg menyenangkan dan banyak mainan buat anak anak. Banyak tempat spot foto yg instagramer banget..;
Ini taman hiburan tidak sebesar jawa timur park tapi cukup lengkap dan menghibur. Bukanya dimalam hari. Menawarkan hiburan seperti lampion2, rumah hantu, rumah 3D, sirkuit gokart, komedi putar, libe music dan lain2. Pas untuk hiburan keluarga dimalam hari yang ramah dikantong.;
Mainan yang cukup menghibur bagi saya hanya gocar, hanya saja biayanya agak mahal. Untuk lainnya saya kurang berminat untuk bermain. Untuk laser shownya keren. Sementara tarian korea agak kurang pas masuk di sana... ;
Banyak sekali arena permainan disini baik untuk orang dewasa atau anak kecil, spot-spot untuk berfoto juga banyak. Live music dan kuliner yang beragam, cafe yang jual minuman dan kopi juga banyak.;
Pada awal januari 2019 ini, sy berkesempatan mengunjungi BNS dgn istri.. kesan sy pd tempat ini,bagus ,seru,banyak wahana permainan dengan harga yg menarik.. ;
kala itu (2014) belum begitu marak ya taman lampion, jadi kami kagum aja pas nyampe sana. wahana yang ditawarkan sebenrnya lengkap dari kursi terbang, pertunjukan air mancur menari hingga perang2an apalah itu namanya. karena sudah terlalu larut dan kami kelelahan jadi kami tidak sempat mencoba wahana yang lain.;
Tampilannya seperti pasar malam walaupun cukup banyak wahana. Lokasi tdk luas.Setiap masuk wahana harus bayar lagi. Saya pakai tiket terusan seharga 99 ribu tetapi masuk wahana2 sebagian tetap mesti byr lg.Tiket terusan lebih cocok jika ingin mencoba banyak wahana, jika tidak lebih baik bayar persatuan.Dengan fasilitas dan harga segitu menurut saya terhitung kemahalan.Disarankan membawa jaket krn kondisi cuaca cukup dingin;
Kalo musim hujan agak ga nyaman kesini . Krn banyak permainan yang outdoor . Untuk masuk ke setiap wahana kita bayar kalau tidak beli tiket terusan , ya memang harga per wahananya tidak mahal... Untuk area anak di bawah usia 7 tahun jg banyak . Ada Playground mini yang isinya mandi bola, perosotan, trampoline. ;
Pertama sebelum memasuki BNS kurang excited tetapi setelah tau banyak wahana yang seru di dalamnya langsung terpukau karena banyak wahananya yang memacu adrenalin dan keren-keren. Selain itu htmnya untuk mencoba setiap wahana juga tidak terlalu mahal dan relatif terjangkau tetapi tidak mengecewakan, tidak hanya itu saja ada juga wahana yang free. Selain wahana di area BNS juga terdapat berbagai outlet makanan dan berbagai macam oleh-oleh.;
Awalnya semangat untuk menikmati wahana di BNS pada saat kemalang.. tapi jujur saja agak kecewa karena fasilitas didalamnya seperti pasar malam.. jadi tidak mencoba wahana2 yg ada didalamnya.. saya dan istri hanya foto2 dan masuk wahana taman lampion.. dan musti bayar lagi dliuar tiket masuk BNS.. beberapa wahana pun musti bayar lagi.. tiket masuknya tidak mahal hanya 40rban kalau saya tidak salah.. tp jika dihitung kembali jika mau main wahana dan musti bayar lg.. serasa lebih mahal.. dan cuacanya dingin musti pakai pakaian agak tebal ya..;
Saya sarankan wisata ini dijadikan pilihan di hari terakhir yang sudah santai, setelah destinasi lain yang wajib sudah dikunjungi. Di dalamnya terdapat banyak mainan dari yang tradisional seperti di pasar malam sampai VR game dan paint ball. Makanan banyak pilihan dan di jam tertentu ada show air mancur menari seperti yang di Monas. Kekurangannya setiap wahana yang dimasuki harus bayar lagi.;
Udah beberapa kali kesini, semakin ada peningkatan, ada beberapa wahana baru. Tijet terusan sekitar 100 rban. Setelah capek bermain bisa menikmati pijat reflexy di luar BNS hanya 35 ribu;
Liburan dengan anak-anak sangat tepat dengan banyaknya hiasan lampion di tempat ini. Dan biaya yang terjangkau;
Pasar malam yang lengkap dengan permainan yang beraneka ragam. Mulai dari permainan anak sampai dengan dewasa. Ada Gokart dengan 5 putaran 100rb rupiah, saking asiknya tidak terasa. Apalagi ada lawan buat balap. ;
